Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
60501;CALOTRAT  POM 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;2;2;0;R$ 28,32; R$ -   ;Ok
61082;CALOTRAT 5ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;1;1;0;R$ 12,26; R$ -   ;Ok
1778;CALTRATE  600MG + 400 UI C/ 30 CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 57,77; R$ -   ;Ok
56020;CALTREN 10MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 65,03; R$ -   ;Ok
56548;CALTREN 20MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 113,67; R$ -   ;Ok
1558;CAMOMILINA C C/ 20CAPS;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 47,00; R$ -   ;Ok
60898;CAMOMINE C BABY  C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;1;1;0;R$ 11,92; R$ -   ;Ok
56303;CANDESARTANA 8MG 30CPR;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONT ULT ONE;1;1;0;R$ 26,14; R$ -   ;Ok
1297;CANDICORT POM 30G;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 36,38; R$ -   ;Ok
888;CANDITRAT SOL ORAL 50ML;PRINCIPAL > 3 - SIMILARES > SIM RX BONIF ONE;2;2;0;R$ 8,03; R$ -   ;Ok
62814;CANELA DE VELHO GEL C/SEBO DE CARNEIRO 150G;PRINCIPAL > 3 - SIMILARES > OFICINAIS;1;1;0;R$ 5,21; R$ -   ;Ok
749;CAPOX 25 MG C/ 30CP;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;2;2;0;R$ 2,25; R$ -   ;Ok
73978;CAPTOPRIL 25MG 30CP (MEDLEY);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;3;3;0;R$ 2,85; R$ -   ;Ok
118227;CAPTOPRIL 25MG 30CP (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 1,71; R$ -   ;Ok
73345;CAPTOPRIL 25MG 30CP (TEUTO) FP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;19;19;0;R$ 1,81; R$ -   ;Ok
1004;CAPTOPRIL 50MG 30CP (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;11;11;0;R$ 6,03; R$ -   ;Ok
73568;CAPTOPRIL 50MG 30CP (PRATI);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 3,93; R$ -   ;Ok
1389;CARDILOL  12,5MG  C/30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 36,70; R$ -   ;Ok
56136;CARDILOL 12,5 MG C/ 60 CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 63,16; R$ -   ;Ok
68250;CARGA AP GILLETTE FUSION PRO 2 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;3;3;0;R$ 50,77; R$ -   ;Ok
