Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
69842;DESODORANTE AER DOVE ORIGINAL 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;178;178;0;R$ 10,43; R$ -   ;Ok;
65806;DESODORANTE AER DOVE ORIGINAL 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;16;16;0;R$ 19,85; R$ -   ;Ok;
57589;DESODORANTE AER DOVE SILVER CONTROL MEN 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 12,26; R$ -   ;Ok;
102832;DESODORANTE AER MONANGE ESPORTE 72H 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 7,53; R$ -   ;Ok;
69950;DESODORANTE AER MONANGE FLOR DE LAVANDA 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;11;11;0;R$ 7,41; R$ -   ;Ok;
69936;DESODORANTE AER MONANGE FRUTAS VERMELHAS 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;3;3;0;R$ 7,61; R$ -   ;Ok;
59323;DESODORANTE AER MONANGE HIDRATACAO INTENSIVA FEM 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;3;3;0;R$ 7,82; R$ -   ;Ok;
69976;DESODORANTE AER MONANGE INVISIVEL FEM 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;9;9;0;R$ 7,43; R$ -   ;Ok;
64358;DESODORANTE AER MONANGE PROTECAO SECA FEM 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;5;5;0;R$ 7,63; R$ -   ;Ok;
59322;DESODORANTE AER MONANGE SENSIVEL 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;11;11;0;R$ 7,40; R$ -   ;Ok;
57584;DESODORANTE AER NIVEA BLACK&WHITE FEM 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;4;4;0;R$ 10,78; R$ -   ;Ok;
57600;DESODORANTE AER NIVEA DERMO CLAREADOR 3 EM 1 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;5;5;0;R$ 10,15; R$ -   ;Ok;
69899;DESODORANTE AER NIVEA MEN BLACK&WHITE 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;4;4;0;R$ 11,39; R$ -   ;Ok;
64502;DESODORANTE AER NIVEA MEN DEEP 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;8;8;0;R$ 10,07; R$ -   ;Ok;
57598;DESODORANTE AER NIVEA MEN DRY IMPACT 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;2;2;0;R$ 11,39; R$ -   ;Ok;
61941;DESODORANTE AER NIVEA MEN PROTECT 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;6;6;0;R$ 9,63; R$ -   ;Ok;
58170;DESODORANTE AER NIVEA PEARL & BEAUTY 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;4;4;0;R$ 10,13; R$ -   ;Ok;
60487;DESODORANTE AER NIVEA PROTECT & CARE 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;5;5;0;R$ 10,51; R$ -   ;Ok;
57582;DESODORANTE AER NIVEA SEM PERFUME 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 9,07; R$ -   ;Ok;
125203;DESODORANTE AER OLD SPICE AMADEIRADO 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;3;3;0;R$ 16,57; R$ -   ;Ok;
125201;DESODORANTE AER OLD SPICE BRISA DO MAR 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 16,57; R$ -   ;Ok;
62032;DESODORANTE AER OLD SPICE LENHA  150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;2;2;0;R$ 11,70; R$ -   ;Ok;
63724;DESODORANTE AER OLD SPICE MAR PROFUNDO 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;2;2;0;R$ 11,25; R$ -   ;Ok;
64352;DESODORANTE AER OLD SPICE MAR PROFUNDO 200ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 14,26; R$ -   ;Ok;
61953;DESODORANTE AER OLD SPICE MATADOR MEN 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;2;2;0;R$ 11,71; R$ -   ;Ok;
61954;DESODORANTE AER OLD SPICE REFRESCANTE 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;3;3;0;R$ 11,66; R$ -   ;Ok;
125202;DESODORANTE AER OLD SPICE REFRESCANTE 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 16,57; R$ -   ;Ok;
71680;DESODORANTE AER OLD SPICE REFRESCANTE MEN 200ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;1;1;0;R$ 13,72; R$ -   ;Ok;
